Campaign,Campaign type,Campaign start date,Campaign end date,Audience segment,Audience segment type,Clicks,Impr.,CTR,TrueView view rate
UCM - DOT Conference (Bridges Video) - 8.15-8.30,Video,"Aug 15, 2024","Aug 31, 2024",Machine Learning,Custom intent segment: auto-created,1,87,1.15%,0.00%
UCM - Podcast Episode 11 - AI Care Part 1 - 8.26-9.26,Video,"Aug 26, 2024","Sep 26, 2024",Artificial Intelligence Programs and Information,Custom intent segment: auto-created,1,140,0.71%,1.43%
UCM - Podcast Episode 11 - AI Care Part 1 - 8.26-9.26,Video,"Aug 26, 2024","Sep 26, 2024",Universities,Custom intent segment: auto-created,1,53,1.89%,3.77%
UCM - Podcast Episode 12 - AI Care Part 2 - 9.17 - 10.17,Video,"Sep 17, 2024","Oct 17, 2024",AI Chatbot,Custom intent segment: auto-created,1,395,0.25%,7.85%
UCM - Podcast Episode 12 - AI Care Part 2 - 9.17 - 10.17,Video,"Sep 17, 2024","Oct 17, 2024",Central Michigan University,Custom intent segment: auto-created,1,1,100.00%,0.00%
UCM - Podcast Episode 12 - AI Care Part 2 - 9.17 - 10.17,Video,"Sep 17, 2024","Oct 17, 2024",Machine Learning,Custom intent segment: auto-created,1,14,7.14%,0.00%
UCM - Podcast Episode 13 - Dinosaurs - 9.17 - 10.17,Video,"Sep 17, 2024","Oct 17, 2024",Intelligent Robots,Custom intent segment: auto-created,1,56,1.79%,3.57%
UCM - Podcast Episode 14 - Birth of AI Part 1 - 10.4-11.4,Video,"Oct 4, 2024","Nov 4, 2024",Machine Learning,Custom intent segment: auto-created,1,12,8.33%,16.67%
UCM - AI Horizon Campaign Video - 10.12-10.16,Video,"Oct 12, 2024","Oct 16, 2024",Information Technology,Custom intent segment: auto-created,1,42,2.38%,0.00%
UCM - AI Horizon Campaign Video - 10.12-10.16,Video,"Oct 12, 2024","Oct 16, 2024",Technology Events,Custom intent segment: auto-created,1,10,10.00%,0.00%
UCM - AI Horizon Campaign Video - 10.12-10.16,Video,"Oct 12, 2024","Oct 16, 2024",Technology News,Custom intent segment: auto-created,1,48,2.08%,6.25%
UCM - AI Horizons Campaign -Display - 10.12-10.16,Display,"Oct 12, 2024","Oct 16, 2024",Technology › Technophiles › Cloud Services Power Users,Affinity segment,1,123,0.81%,0
UCM - AI Horizons Campaign -Display - 10.12-10.16,Display,"Oct 12, 2024","Oct 16, 2024",Business Services › Business Technology,In-market segment,1,230,0.43%,0
UCM - AI Horizons Campaign -Display - 10.12-10.16,Display,"Oct 12, 2024","Oct 16, 2024",Business Services › Business Technology › Network Systems & Services › Hosted Data & Cloud Storage,In-market segment,1,298,0.34%,0
UCM - AI Horizons Campaign -Display - 10.12-10.16,Display,"Oct 12, 2024","Oct 16, 2024",Online Business,Custom affinity segment: auto-created,1,175,0.57%,0
UCM - AI Horizons Campaign -Display - 10.12-10.16,Display,"Oct 12, 2024","Oct 16, 2024",Starting a Business in the USA,Custom affinity segment: auto-created,1,141,0.71%,0
UCM - Podcast Episode 15 - Birth of AI 2 - 10.10-11.10,Video,"Oct 10, 2024","Nov 10, 2024",Deep Learning,Custom intent segment: auto-created,1,40,2.50%,12.50%
UCM - Podcast Episode 15 - Birth of AI 2 - 10.10-11.10,Video,"Oct 10, 2024","Nov 10, 2024",Higher Education,Custom intent segment: auto-created,1,37,2.70%,21.62%
UCM - Podcast Episode 2 Bridges  - 4.8.2024 - 5.8.2024,Video,"Apr 8, 2024","May 8, 2024",Youtube Subscribers,YouTube users,0,0,0,0
UCM - Podcast Episode 2 Bridges  - 4.8.2024 - 5.8.2024,Video,"Apr 8, 2024","May 8, 2024",Bridge Construction Services,Custom intent segment: auto-created,0,32,0.00%,0.00%
UCM - Podcast Episode 2 Bridges  - 4.8.2024 - 5.8.2024,Video,"Apr 8, 2024","May 8, 2024",Bridge Design and Information,Custom intent segment: auto-created,0,52,0.00%,3.85%
UCM - Podcast Episode 2 Bridges  - 4.8.2024 - 5.8.2024,Video,"Apr 8, 2024","May 8, 2024",Deep Learning,Custom intent segment: auto-created,0,61,0.00%,0.00%
