Period,Name,THEME,CMU Due Date,Run Dates - Start,Run Dates - End,Run Dates,Status,Tactic/Category,Campaign Group,Budget,Spend,Vendor,Person,Notes,Call to Action,Creative Submitted,Landing Page (UTM),Quarter (For Charts)
Q4 - Apr-Jun 2025,[Podcast] Episode Three - Google Ad,CMU | General Brand,4/24/2025,4/21/2025,5/29/2025,2025-04-21 - 2025-05-29,COMPLETED,Video,Podcast,,,Google,Jimmy Zackal,,Podcast Episode,https://www.youtube.com/watch?v=Caws31Eb7GM,S2 Episode 3: Curtain Up: What's Next for Theater Arts - https://www.cmu.edu/whats-next-podcast/all-episodes/s2-episode-3-curtain-up-whats-next-for-theater-arts,Q4
Q4 - Apr-Jun 2025,"Chronicle - Full Page Print (11.25"" x 14.875"")","May | Graduation, Student Success",5/2/2025,5/23/2025,5/23/2025,2025-05-23 - 2025-05-23,COMPLETED,Print,Research Impact,,,Chronicle,,,,,,Q4
Q4 - Apr-Jun 2025,Chronicle - Newsletter Advertisement (970 x 250),"May | Graduation, Student Success",5/5/2025,5/19/2025,5/19/2025,2025-05-19 - 2025-05-19,COMPLETED,Email,Research Impact,,,Chronicle,,,,,,Q4
Q4 - Apr-Jun 2025,[Podcast] Episode Four - Google Ad,CMU | General Brand,5/8/2025,5/9/2025,6/9/2025,2025-05-09 - 2025-06-09,COMPLETED,Video,Podcast,,,Google,Jimmy Zackal,,Podcast Episode,,,Q4
Q4 - Apr-Jun 2025,[Podcast] Episode Five - Google Ad,CMU | General Brand,5/22/2025,5/22/2025,6/22/2025,2025-05-22 - 2025-06-22,COMPLETED,Video,Podcast,,,Google,Jimmy Zackal,,Podcast Episode,,,Q4
Q4 - Apr-Jun 2025,Chronicle - Newsletter Advertisement (300x250),"May | Graduation, Student Success",5/28/2025,6/11/2025,6/11/2025,2025-06-11 - 2025-06-11,COMPLETED,Email,Research Impact,,,Chronicle,,,,,,Q4
Q4 - Apr-Jun 2025,Chronicle - Newsletter Advertisement (970 x 250),"Jun | Arts & Excellence, Pride",6/2/2025,6/16/2025,6/16/2025,2025-06-16 - 2025-06-16,COMPLETED,Email,Research Impact,,,Chronicle,,,,,,Q4
Q4 - Apr-Jun 2025,[Podcast] Episode Six - Google Ad,CMU | General Brand,6/5/2025,6/5/2025,7/3/2025,2025-06-05 - 2025-07-03,Live,Video,Podcast,,,Google,Jimmy Zackal,,Podcast Episode,https://www.youtube.com/watch?v=P2e9O5Q6yp8,S2 Episode 6: Game Theory Decoded - Part 2 - https://www.cmu.edu/whats-next-podcast/all-episodes/s2-episode-6-game-theory-decoded-part-2,Q4
Q4 - Apr-Jun 2025,[Podcast] Episode Seven - Google Ad,CMU | General Brand,6/19/2025,6/20/2025,7/20/2025,2025-06-20 - 2025-07-20,COMPLETED,Video,Podcast,,,Google,Jimmy Zackal,,Podcast Episode,https://www.youtube.com/watch?v=OEl2F6ES3TY,Ep 7 - https://www.cmu.edu/whats-next-podcast/all-episodes/s2-episode-7-the-science-of-coping-with-stress,Q4
Q4 - Apr-Jun 2025,[Google] UCM - Tony Awards - 6.5-6.9,"Jun | Arts & Excellence, Pride",6/5/2025,6/5/2025,7/8/2025,2025-06-05 - 2025-07-08,COMPLETED,Display & Search,Tony Awards,,,Google,Jimmy Zackal,ran longer than intented.,CMU & Tony Awards,,Tony Awards - https://www.cmu.edu/tony-awards/,Q4
Q4 - Apr-Jun 2025,Times Square Billboard,,,,, - ,,DOOH & OOH,,,,,,,,,,Q3
Q4 - Apr-Jun 2025,Forbes Billboard,,,,, - ,,DOOH & OOH,,,,,,,,,,Q4
,,,,,, - ,,,,,,,,,,,,
,,,,,, - ,,,,,,,,,,,,
,,,,,, - ,,,,,,,,,,,,
,,,,,, - ,,,,,,,,,,,,
,,,,,, - ,,,,,,,,,,,,
,,,,,, - ,,,,,,,,,,,,
,,,,,, - ,,,,,,,,,,,,
,,,,,, - ,,,,,,,,,,,,
,,,,,, - ,,,,,,,,,,,,
,,,,,, - ,,,,,,,,,,,,
,,,,,, - ,,,,,,,,,,,,
,,,,,, - ,,,,,,,,,,,,
,,,,,, - ,,,,,,,,,,,,
,,,,,, - ,,,,,,,,,,,,
,,,,,, - ,,,,,,,,,,,,
,,,,,, - ,,,,,,,,,,,,
,,,,,, - ,,,,,,,,,,,,
,,,,,, - ,,,,,,,,,,,,
,,,,,, - ,,,,,,,,,,,,
,,,,,, - ,,,,,,,,,,,,
,,,,,, - ,,,,,,,,,,,,
,,,,,, - ,,,,,,,,,,,,
,,,,,, - ,,,,,,,,,,,,
,,,,,, - ,,,,,,,,,,,,
,,,,,, - ,,,,,,,,,,,,
,,,,,, - ,,,,,,,,,,,,
,,,,,, - ,,,,,,,,,,,,
,,,,,, - ,,,,,,,,,,,,
,,,,,, - ,,,,,,,,,,,,
,,,,,, - ,,,,,,,,,,,,
,,,,,, - ,,,,,,,,,,,,
,,,,,, - ,,,,,,,,,,,,
,,,,,, - ,,,,,,,,,,,,
,,,,,, - ,,,,,,,,,,,,
,,,,,, - ,,,,,,,,,,,,
,,,,,, - ,,,,,,,,,,,,
